比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分
239,1,1,2,1,1,2,0,0,0,1,2,0,0,0,1,1,2,0,1,1,1,2,0,1
411,0,0,0,1,1,3,0,1,0,1,3,0,1,0,1,2,1,1,0,1,2,1,1,0
475,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,3,0,0,0,1,3,0,0,0
478,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,3,0,1,0,1,3,0,1,0
479,0,0,0,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,0,1,2,1,1,0
491,1,2,0,1,1,3,0,2,0,1,3,0,2,0,1,0,0,0,0,1,0,0,0,0
515,1,2,2,1,2,4,3,3,1,2,4,3,3,1,2,5,2,4,1,2,5,2,4,1
517,1,0,3,1,1,1,2,1,0,1,1,2,1,0,1,1,0,0,0,1,1,0,0,0
518,0,0,0,1,1,2,3,2,2,1,2,3,2,2,2,7,4,3,0,2,7,4,3,0
520,1,1,2,1,1,1,3,0,1,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0
521,0,0,0,0,1,1,3,1,2,1,1,3,1,2,1,2,1,0,1,1,2,1,0,1
521,0,0,0,0,1,1,3,1,2,1,1,3,1,2,1,2,1,0,1,1,2,1,0,1
522,1,0,1,0,1,1,2,0,1,1,1,2,0,1,1,2,2,1,1,1,2,2,1,1
522,1,0,1,0,1,1,2,0,1,1,1,2,0,1,1,2,2,1,1,1,2,2,1,1
528,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0
529,0,0,0,1,1,3,2,0,2,1,3,2,0,2,1,0,1,0,0,1,0,1,0,0
532,1,2,3,1,1,3,0,3,0,1,3,0,3,0,1,3,3,1,2,1,3,3,1,2
533,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,3,1,1,1,1,3,1,1
534,0,0,0,1,1,0,1,0,1,1,0,1,0,1,2,5,4,5,3,2,5,4,5,3
535,1,2,0,1,2,7,5,4,4,2,7,5,4,4,2,1,2,1,1,2,1,2,1,1
536,1,1,0,1,2,0,1,0,0,2,0,1,0,0,1,1,1,0,0,1,1,1,0,0
537,0,0,0,0,2,0,1,0,1,2,0,1,0,1,2,3,2,0,2,2,3,2,0,2
537,0,0,0,0,2,0,1,0,1,2,0,1,0,1,2,3,2,0,2,2,3,2,0,2
538,1,0,1,0,2,3,1,2,0,2,3,1,2,0,1,1,0,1,0,1,1,0,1,0
539,0,0,0,1,1,0,1,0,1,1,0,1,0,1,2,6,2,2,1,2,6,2,2,1
540,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,0,1,0,0,2,0,1,0,0
540,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,0,1,0,0,2,0,1,0,0
542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
543,1,2,2,1,1,1,2,0,1,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0
544,1,1,1,1,1,0,4,0,2,1,0,4,0,2,1,2,1,1,0,1,2,1,1,0
545,1,0,2,1,1,1,0,1,0,1,1,0,1,0,1,2,1,1,0,1,2,1,1,0
546,1,2,1,1,1,1,1,0,1,1,1,1,0,1,1,4,0,2,0,1,4,0,2,0
547,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
551,1,0,1,1,1,1,2,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1
553,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
570,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
574,1,2,2,1,2,0,2,0,0,2,0,2,0,0,2,4,3,2,1,2,4,3,2,1
575,0,0,0,1,1,0,2,0,1,1,0,2,0,1,2,2,0,0,0,2,2,0,0,0
577,1,3,0,0,2,0,2,0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,0,0
577,1,3,0,0,2,0,2,0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,0,0
579,1,0,1,1,1,0,1,0,0,1,0,1,0,0,2,4,0,3,0,2,4,0,3,0
580,1,1,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
580,1,1,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
581,0,0,0,1,1,2,1,1,0,1,2,1,1,0,1,2,2,2,1,1,2,2,2,1
583,1,1,1,1,1,1,2,0,1,1,1,2,0,1,1,1,0,0,0,1,1,0,0,0
600,1,1,3,1,1,1,3,0,2,1,1,3,0,2,1,1,1,0,1,1,1,1,0,1
632,1,1,0,1,1,2,1,1,0,1,2,1,1,0,1,0,1,0,0,1,0,1,0,0
633,1,1,2,1,1,0,2,0,2,1,0,2,0,2,1,1,2,0,2,1,1,2,0,2
643,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
775,1,1,1,1,1,2,3,2,1,1,2,3,2,1,1,2,1,0,1,1,2,1,0,1
809,1,1,2,1,1,1,2,0,2,1,1,2,0,2,1,0,3,0,3,1,0,3,0,3
835,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0
1015,1,0,1,1,1,1,2,0,1,1,1,2,0,1,2,1,3,0,3,2,1,3,0,3
1017,1,1,0,1,1,2,2,1,1,1,2,2,1,1,1,0,2,0,0,1,0,2,0,0
1029,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,3,0,1,0,1,3,0,1,0
1042,0,0,0,0,1,2,0,1,0,1,2,0,1,0,1,4,1,2,0,1,4,1,2,0
1042,0,0,0,0,1,2,0,1,0,1,2,0,1,0,1,4,1,2,0,1,4,1,2,0
1043,1,1,0,1,1,1,3,1,1,1,1,3,1,1,1,2,0,1,0,1,2,0,1,0
1054,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0
1112,1,1,3,1,1,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,3,0,1
1136,0,0,0,1,1,0,3,0,1,1,0,3,0,1,1,1,1,0,1,1,1,1,0,1
1138,1,2,0,1,1,1,0,0,0,1,1,0,0,0,1,4,0,0,0,1,4,0,0,0
1267,1,0,2,1,2,2,5,2,3,2,2,5,2,3,2,3,1,2,0,2,3,1,2,0
1268,0,0,0,1,1,4,1,3,1,1,4,1,3,1,2,4,1,2,0,2,4,1,2,0
1269,1,1,0,0,1,1,0,0,0,1,1,0,0,0,2,2,4,2,3,2,2,4,2,3
1271,0,0,0,0,1,0,2,0,0,1,0,2,0,0,2,2,5,1,4,2,2,5,1,4
1271,0,0,0,0,1,0,2,0,0,1,0,2,0,0,2,2,5,1,4,2,2,5,1,4
1275,1,1,1,1,2,0,3,0,1,2,0,3,0,1,1,0,1,0,0,1,0,1,0,0
1327,0,0,0,1,1,2,3,2,2,1,2,3,2,2,1,2,0,1,0,1,2,0,1,0
1332,1,0,1,1,1,2,2,2,1,1,2,2,2,1,1,3,1,1,1,1,3,1,1,1
1339,0,0,0,1,1,5,0,2,0,1,5,0,2,0,1,1,2,0,1,1,1,2,0,1
1411,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1418,1,0,2,1,1,1,2,0,0,1,1,2,0,0,1,2,1,2,1,1,2,1,2,1
1457,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,4,0,1,1,0,4,0,1
1462,1,0,1,1,2,2,1,0,1,2,2,1,0,1,1,3,1,3,1,1,3,1,3,1
1464,1,2,0,1,1,1,3,1,3,1,1,3,1,3,1,1,2,1,0,1,1,2,1,0
1467,1,0,1,1,1,1,2,1,0,1,1,2,1,0,1,3,2,0,1,1,3,2,0,1
1570,1,2,0,1,2,7,2,0,1,2,7,2,0,1,1,1,1,1,0,1,1,1,1,0
1571,1,1,1,1,2,2,6,1,1,2,2,6,1,1,2,5,4,2,1,2,5,4,2,1
1572,0,0,0,1,2,2,5,0,1,2,2,5,0,1,1,2,0,0,0,1,2,0,0,0
1573,0,0,0,1,2,3,1,1,0,2,3,1,1,0,3,10,5,2,1,3,10,5,2,1
1574,1,1,2,1,2,3,0,1,0,2,3,0,1,0,3,3,11,2,2,3,3,11,2,2
1575,1,2,0,0,1,1,0,1,0,1,1,0,1,0,3,10,5,3,2,3,10,5,3,2
1575,1,2,0,0,1,1,0,1,0,1,1,0,1,0,3,10,5,3,2,3,10,5,3,2
1576,1,1,0,1,3,3,5,0,1,3,3,5,0,1,1,0,1,0,1,1,0,1,0,1
1577,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,3,0,1,1,0,3,0,1
1578,1,2,1,1,1,2,0,1,0,1,2,0,1,0,1,1,0,1,0,1,1,0,1,0
1579,1,0,2,1,1,0,3,0,0,1,0,3,0,0,2,4,4,1,2,2,4,4,1,2
1581,0,0,0,0,3,2,3,1,3,3,2,3,1,3,1,0,1,0,0,1,0,1,0,0
1581,0,0,0,0,3,2,3,1,3,3,2,3,1,3,1,0,1,0,0,1,0,1,0,0
1582,1,1,1,1,2,0,4,0,1,2,0,4,0,1,1,1,1,0,0,1,1,1,0,0
1584,1,0,2,1,1,1,3,0,2,1,1,3,0,2,2,1,2,0,0,2,1,2,0,0
1587,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
1588,1,2,0,1,1,1,0,0,0,1,1,0,0,0,1,2,0,1,0,1,2,0,1,0
1590,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0
1606,1,1,0,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2
1607,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1
1608,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
1610,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,2,2,0,1
1648,1,0,1,1,1,2,1,1,1,1,2,1,1,1,1,3,0,2,0,1,3,0,2,0
1713,1,3,0,1,1,1,1,0,0,1,1,1,0,0,1,0,2,0,0,1,0,2,0,0
1722,1,0,1,1,1,0,2,0,2,1,0,2,0,2,1,0,1,0,1,1,0,1,0,1
1741,1,1,0,1,1,0,1,0,1,1,0,1,0,1,2,6,1,2,1,2,6,1,2,1
1761,1,2,1,1,1,1,0,1,0,1,1,0,1,0,1,2,0,2,0,1,2,0,2,0
1762,0,0,0,1,1,0,4,0,0,1,0,4,0,0,1,2,0,2,0,1,2,0,2,0
1763,1,1,3,1,1,0,2,0,2,1,0,2,0,2,1,4,0,0,0,1,4,0,0,0
1767,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,2,0,1,0,1,2,0,1,0
1768,1,1,0,1,1,2,0,0,0,1,2,0,0,0,1,4,1,0,0,1,4,1,0,0
1770,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,1,0,2,0,0
1772,1,4,0,1,1,2,0,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0
1773,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0
1774,0,0,0,1,1,1,4,1,1,1,1,4,1,1,1,0,2,0,1,1,0,2,0,1
1775,0,0,0,1,1,2,0,1,0,1,2,0,1,0,1,4,1,1,1,1,4,1,1,1
1778,1,1,1,1,1,4,0,3,0,1,4,0,3,0,1,2,0,1,0,1,2,0,1,0
1779,1,0,1,1,1,2,0,1,0,1,2,0,1,0,1,3,1,0,1,1,3,1,0,1
1780,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,3,1,1,1,1,3,1,1,1
1783,1,0,1,1,1,3,5,1,2,1,3,5,1,2,3,5,10,4,3,3,5,10,4,3
1784,1,1,1,1,1,3,0,2,0,1,3,0,2,0,1,4,0,1,0,1,4,0,1,0
1791,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,2,0,1,0
1792,0,0,0,1,1,2,1,0,1,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0
1824,0,0,0,1,1,4,0,2,0,1,4,0,2,0,1,1,0,1,0,1,1,0,1,0
1830,0,0,0,1,1,1,2,0,2,1,1,2,0,2,1,1,0,1,0,1,1,0,1,0
1832,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0
1834,0,0,0,1,1,2,0,1,0,1,2,0,1,0,1,1,0,1,0,1,1,0,1,0
1835,1,1,0,1,2,0,0,0,0,2,0,0,0,0,2,2,2,1,0,2,2,2,1,0
1837,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
1844,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0
1852,1,5,1,1,1,0,2,0,2,1,0,2,0,2,1,0,1,0,1,1,0,1,0,1
1859,0,0,0,1,1,0,4,0,2,1,0,4,0,2,1,0,2,0,1,1,0,2,0,1
1861,0,0,0,1,1,0,4,0,1,1,0,4,0,1,1,2,3,2,0,1,2,3,2,0
1867,1,1,1,1,1,2,1,1,0,1,2,1,1,0,1,1,1,1,0,1,1,1,1,0
1920,0,0,0,1,1,0,3,0,2,1,0,3,0,2,1,0,4,0,2,1,0,4,0,2
1935,0,0,0,1,1,1,2,1,0,1,1,2,1,0,1,1,5,0,3,1,1,5,0,3
1942,1,1,0,1,1,4,1,2,1,1,4,1,2,1,1,2,1,0,1,1,2,1,0,1
1976,0,0,0,1,2,2,3,1,2,2,2,3,1,2,1,2,1,0,1,1,2,1,0,1
1978,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,8,1,5,1,1,8,1,5
1980,1,0,2,1,1,4,2,3,2,1,4,2,3,2,1,0,2,0,0,1,0,2,0,0
1981,1,1,1,1,1,1,2,0,1,1,1,2,0,1,1,2,1,0,0,1,2,1,0,0
1982,1,1,0,1,1,2,0,0,0,1,2,0,0,0,1,2,2,1,2,1,2,2,1,2
1983,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,2,2,1,1,2,2,2,1
1988,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,2,1,1,0,1,2,1,1,0
1991,0,0,0,1,2,10,3,5,1,2,10,3,5,1,1,1,2,1,1,1,1,2,1,1
1992,1,0,1,1,2,2,4,1,3,2,2,4,1,3,1,1,1,0,1,1,1,1,0,1
1994,0,0,0,1,1,3,0,2,0,1,3,0,2,0,1,2,2,0,0,1,2,2,0,0
2053,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,0,1,0,0,1,0,1,0,0
2098,1,1,0,1,2,3,3,1,3,2,3,3,1,3,2,3,3,3,1,2,3,3,3,1
2148,1,1,2,1,1,2,1,2,0,1,2,1,2,0,1,0,3,0,2,1,0,3,0,2
2172,1,1,0,1,1,3,2,2,2,1,3,2,2,2,1,2,1,1,1,1,2,1,1,1
2173,0,0,0,1,1,1,3,0,0,1,1,3,0,0,1,3,3,2,1,1,3,3,2,1
2174,1,0,2,1,1,1,2,0,1,1,1,2,0,1,1,1,2,0,2,1,1,2,0,2
2205,0,0,0,1,2,1,4,1,2,2,1,4,1,2,2,3,1,1,1,2,3,1,1,1
2206,1,2,1,1,2,0,1,0,0,2,0,1,0,0,2,2,0,1,0,2,2,0,1,0
2267,0,0,0,1,2,1,3,1,1,2,1,3,1,1,1,1,0,0,0,1,1,0,0,0
2268,1,1,0,1,2,2,1,0,0,2,2,1,0,0,1,1,0,0,0,1,1,0,0,0
2269,0,0,0,1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0
2270,1,0,1,1,2,2,3,1,2,2,2,3,1,2,2,3,3,2,1,2,3,3,2,1
2272,1,0,1,1,1,1,3,0,2,1,1,3,0,2,1,2,1,0,1,1,2,1,0,1
2284,1,1,0,1,2,5,3,2,1,2,5,3,2,1,2,6,1,3,1,2,6,1,3,1
2293,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0
2299,1,2,0,1,3,7,3,2,2,3,7,3,2,2,2,2,2,1,1,2,2,2,1,1
2300,1,1,2,1,4,7,12,5,3,4,7,12,5,3,2,5,7,1,3,2,5,7,1,3
2301,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
2328,1,0,1,1,1,2,1,2,0,1,2,1,2,0,1,3,1,0,0,1,3,1,0,0
2332,1,0,2,1,1,0,3,0,1,1,0,3,0,1,1,0,2,0,2,1,0,2,0,2
2343,1,2,0,1,2,6,1,3,0,2,6,1,3,0,1,3,0,2,0,1,3,0,2,0
2345,1,0,1,1,1,4,0,2,0,1,4,0,2,0,1,0,2,0,0,1,0,2,0,0
2346,0,0,0,1,2,3,0,1,0,2,3,0,1,0,1,0,1,0,0,1,0,1,0,0
2350,1,0,1,1,1,1,3,0,1,1,1,3,0,1,1,1,2,1,0,1,1,2,1,0
2385,1,3,0,1,1,2,0,0,0,1,2,0,0,0,1,1,3,1,1,1,1,3,1,1
2404,1,1,0,1,1,1,2,1,1,1,1,2,1,1,1,4,0,2,0,1,4,0,2,0
2416,1,2,1,1,2,0,3,0,2,2,0,3,0,2,1,0,0,0,0,1,0,0,0,0
2427,1,2,0,0,2,4,1,4,1,2,4,1,4,1,2,3,3,1,0,2,3,3,1,0
2428,1,0,1,1,1,0,1,0,0,1,0,1,0,0,2,5,4,1,1,2,5,4,1,1
2429,1,0,1,0,1,2,1,1,0,1,2,1,1,0,1,3,0,1,0,1,3,0,1,0
2432,1,3,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0
2440,1,1,1,0,2,4,3,1,1,2,4,3,1,1,1,1,0,1,0,1,1,0,1,0
2440,1,1,1,0,2,4,3,1,1,2,4,3,1,1,1,1,0,1,0,1,1,0,1,0
2442,1,1,0,1,2,6,1,2,0,2,6,1,2,0,1,1,2,0,1,1,1,2,0,1
2443,1,1,0,1,2,0,3,0,2,2,0,3,0,2,2,2,3,1,1,2,2,3,1,1
2444,1,0,1,0,2,2,0,0,0,2,2,0,0,0,2,3,5,3,3,2,3,5,3,3
2444,1,0,1,0,2,2,0,0,0,2,2,0,0,0,2,3,5,3,3,2,3,5,3,3
2448,1,3,0,1,2,5,1,2,0,2,5,1,2,0,1,1,3,0,1,1,1,3,0,1
2451,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2471,1,0,1,1,2,1,3,1,2,2,1,3,1,2,1,3,1,2,0,1,3,1,2,0
2472,1,1,0,0,1,2,1,2,1,1,2,1,2,1,1,1,0,0,0,1,1,0,0,0
2473,1,1,0,1,2,3,2,1,2,2,3,2,1,2,2,4,0,2,0,2,4,0,2,0
2474,0,0,0,1,3,5,5,3,1,3,5,5,3,1,3,4,5,1,3,3,4,5,1,3
2491,1,4,1,1,1,2,3,1,0,1,2,3,1,0,1,2,1,1,0,1,2,1,1,0
2505,1,2,0,1,1,2,2,1,0,1,2,2,1,0,1,0,1,0,1,1,0,1,0,1
2512,0,0,0,1,1,1,2,1,1,1,1,2,1,1,2,1,2,0,1,2,1,2,0,1
2516,0,0,0,1,2,2,1,0,0,2,2,1,0,0,2,1,0,0,0,2,1,0,0,0
2522,1,1,1,1,1,0,2,0,1,1,0,2,0,1,1,1,4,0,0,1,1,4,0,0
2534,1,1,0,1,2,3,5,2,4,2,3,5,2,4,1,0,1,0,1,1,0,1,0,1
2538,1,1,1,1,1,2,1,2,0,1,2,1,2,0,2,4,2,3,2,2,4,2,3,2
2544,0,0,0,1,1,1,2,0,1,1,1,2,0,1,1,2,1,1,0,1,2,1,1,0
2550,0,0,0,1,1,2,3,2,2,1,2,3,2,2,2,3,2,1,2,2,3,2,1,2
2551,1,0,2,1,2,4,3,3,2,2,4,3,3,2,1,1,2,1,1,1,1,2,1,1
2559,1,1,1,0,1,0,2,0,1,1,0,2,0,1,1,1,1,0,0,1,1,1,0,0
2560,1,1,0,1,1,2,1,0,0,1,2,1,0,0,1,1,1,0,0,1,1,1,0,0
2561,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,2,0,1,0,1,2,0,1,0
2562,1,1,1,1,1,1,3,0,1,1,1,3,0,1,1,1,0,0,0,1,1,0,0,0
2564,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,1,2,0,0
2567,1,2,0,1,1,0,1,0,0,1,0,1,0,0,1,2,0,1,0,1,2,0,1,0
2572,1,0,1,1,1,3,0,0,0,1,3,0,0,0,1,3,0,1,0,1,3,0,1,0
2574,1,2,0,1,2,2,0,1,0,2,2,0,1,0,2,3,1,1,0,2,3,1,1,0
2575,0,0,0,1,1,4,0,1,0,1,4,0,1,0,1,1,1,0,1,1,1,1,0,1
2581,0,0,0,1,3,4,2,1,1,3,4,2,1,1,3,5,5,2,3,3,5,5,2,3
2582,1,0,1,1,1,1,1,1,0,1,1,1,1,0,3,4,2,2,1,3,4,2,2,1
2589,1,0,1,1,3,4,4,1,3,3,4,4,1,3,2,11,4,5,2,2,11,4,5,2
2617,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0
2622,1,0,2,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0
2622,1,0,2,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0
2623,0,0,0,1,1,0,1,0,1,1,0,1,0,1,3,4,0,1,0,3,4,0,1,0
2625,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
2626,1,2,1,1,1,2,1,0,1,1,2,1,0,1,2,2,4,2,1,2,2,4,2,1
2629,1,2,0,1,1,0,7,0,4,1,0,7,0,4,1,2,0,0,0,1,2,0,0,0
2630,1,2,0,1,1,2,0,0,0,1,2,0,0,0,1,4,0,1,0,1,4,0,1,0
2632,1,0,1,0,2,0,2,0,1,2,0,2,0,1,1,1,0,0,0,1,1,0,0,0
2632,1,0,1,0,2,0,2,0,1,2,0,2,0,1,1,1,0,0,0,1,1,0,0,0
2635,1,1,0,0,3,7,8,3,4,3,7,8,3,4,1,0,4,0,1,1,0,4,0,1
2637,0,0,0,1,1,2,0,0,0,1,2,0,0,0,1,2,2,2,0,1,2,2,2,0
2638,1,1,0,0,1,3,0,1,0,1,3,0,1,0,1,4,2,2,1,1,4,2,2,1
2639,1,1,1,1,1,2,4,1,2,1,2,4,1,2,1,0,3,0,1,1,0,3,0,1
2640,1,0,1,1,1,2,2,0,2,1,2,2,0,2,1,1,3,1,3,1,1,3,1,3
2641,1,1,1,1,1,0,2,0,0,1,0,2,0,0,1,1,1,0,0,1,1,1,0,0
2642,1,1,0,1,1,3,1,3,1,1,3,1,3,1,1,1,1,0,0,1,1,1,0,0
2644,1,1,1,1,1,2,0,0,0,1,2,0,0,0,1,1,2,0,2,1,1,2,0,2
2645,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,0,2,1,1,2,0,2
2646,1,0,1,1,1,2,1,0,1,1,2,1,0,1,1,1,1,0,0,1,1,1,0,0
2647,1,2,0,1,1,1,0,1,0,1,1,0,1,0,1,2,1,0,1,1,2,1,0,1
2648,0,0,0,1,1,2,2,0,2,1,2,2,0,2,2,0,5,0,2,2,0,5,0,2
2649,1,1,0,1,1,2,2,2,0,1,2,2,2,0,1,2,1,1,0,1,2,1,1,0
2650,0,0,0,1,1,1,1,0,0,1,1,1,0,0,2,3,3,3,0,2,3,3,3,0
2653,0,0,0,1,1,1,2,0,1,1,1,2,0,1,1,2,2,0,2,1,2,2,0,2
2654,0,0,0,0,1,2,2,0,0,1,2,2,0,0,2,3,5,3,3,2,3,5,3,3
2654,0,0,0,0,1,2,2,0,0,1,2,2,0,0,2,3,5,3,3,2,3,5,3,3
2655,1,2,0,1,1,5,0,3,0,1,5,0,3,0,1,0,3,0,2,1,0,3,0,2
2662,1,0,3,1,1,1,2,1,0,1,1,2,1,0,1,3,1,1,0,1,3,1,1,0
2666,1,2,0,1,2,4,1,3,1,2,4,1,3,1,1,2,1,1,0,1,2,1,1,0
2677,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,2,1,0,3,0,2
2677,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,2,1,0,3,0,2
2684,1,1,0,1,1,2,0,2,0,1,2,0,2,0,1,1,4,0,1,1,1,4,0,1
2691,1,0,3,1,1,0,2,0,0,1,0,2,0,0,1,7,0,4,0,1,7,0,4,0
2700,1,1,0,1,2,4,2,3,0,2,4,2,3,0,2,2,4,2,1,2,2,4,2,1
2718,1,2,0,1,3,6,2,2,2,3,6,2,2,2,2,2,1,0,1,2,2,1,0,1
2722,0,0,0,0,2,1,1,0,1,2,1,1,0,1,3,1,4,1,3,3,1,4,1,3
2722,0,0,0,0,2,1,1,0,1,2,1,1,0,1,3,1,4,1,3,3,1,4,1,3
2723,0,0,0,1,2,4,1,3,0,2,4,1,3,0,2,3,1,3,1,2,3,1,3,1
2724,0,0,0,1,2,4,1,2,0,2,4,1,2,0,2,3,3,1,2,2,3,3,1,2
2725,1,1,1,1,4,11,8,6,4,4,11,8,6,4,2,1,3,0,2,2,1,3,0,2
2727,1,3,0,1,1,3,1,2,1,1,3,1,2,1,2,3,3,2,2,2,3,3,2,2
2729,1,0,1,0,3,6,1,4,0,3,6,1,4,0,3,6,5,1,2,3,6,5,1,2
2729,1,0,1,0,3,6,1,4,0,3,6,1,4,0,3,6,5,1,2,3,6,5,1,2
2730,1,1,0,1,3,7,5,3,0,3,7,5,3,0,2,7,2,4,2,2,7,2,4,2
2731,0,0,0,1,3,4,6,2,1,3,4,6,2,1,2,2,5,1,3,2,2,5,1,3
2732,1,2,0,1,4,7,8,6,3,4,7,8,6,3,1,0,1,0,0,1,0,1,0,0
2735,1,2,1,1,4,11,8,6,5,4,11,8,6,5,2,0,2,0,1,2,0,2,0,1
2736,1,0,2,1,2,1,4,1,1,2,1,4,1,1,4,1,6,1,3,4,1,6,1,3
2737,1,2,0,1,4,9,3,3,1,4,9,3,3,1,3,0,1,0,1,3,0,1,0,1
2738,1,0,1,1,2,4,2,0,1,2,4,2,0,1,3,1,6,1,2,3,1,6,1,2
2739,0,0,0,1,1,1,0,0,0,1,1,0,0,0,4,6,3,3,1,4,6,3,3,1
2741,1,1,0,1,2,2,1,2,0,2,2,1,2,0,4,6,6,3,1,4,6,6,3,1
2760,0,0,0,1,2,0,7,0,3,2,0,7,0,3,1,0,1,0,1,1,0,1,0,1
2763,1,1,0,1,1,1,3,0,1,1,1,3,0,1,3,2,2,1,1,3,2,2,1,1
2764,1,1,1,1,1,0,0,0,0,1,0,0,0,0,2,5,0,4,0,2,5,0,4,0
2765,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,2,0,1,0,1,2,0,1,0
2774,1,0,1,1,1,2,1,0,1,1,2,1,0,1,2,5,1,1,0,2,5,1,1,0
2775,0,0,0,0,4,5,10,4,5,4,5,10,4,5,4,11,7,4,4,4,11,7,4,4
2775,0,0,0,0,4,5,10,4,5,4,5,10,4,5,4,11,7,4,4,4,11,7,4,4
2776,1,1,1,1,2,2,5,1,1,2,2,5,1,1,2,0,2,0,0,2,0,2,0,0
