比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分
9620,1,2,0,1,7,11,6,4,2,3,7,2,3,1,5,10,3,6,0,3,9,2,5,0
9621,0,0,0,1,5,10,9,4,4,3,7,4,3,1,6,7,7,4,2,3,4,3,1,2
9623,1,2,1,1,4,6,5,3,1,2,4,3,1,1,5,11,3,7,3,2,5,2,4,2
9625,1,1,1,1,5,5,9,1,5,3,2,6,0,2,5,7,11,1,7,2,2,5,0,5
9628,0,0,0,1,6,6,3,2,2,4,5,3,1,2,2,2,0,0,0,2,2,0,0,0
9629,0,0,0,1,2,0,1,0,0,2,0,1,0,0,1,1,2,0,1,1,1,2,0,1
9630,1,1,0,1,3,9,3,3,2,2,7,3,2,2,2,3,3,3,1,1,0,0,0,0
9631,1,1,0,1,5,3,11,1,7,3,3,8,1,4,3,2,7,1,3,1,0,1,0,0
9632,1,1,1,1,5,8,1,5,0,3,6,1,4,0,3,10,6,6,1,2,5,5,3,1
9635,1,0,1,1,3,4,1,1,0,3,4,1,1,0,4,11,5,4,1,4,11,5,4,1
9636,1,0,1,1,6,10,8,4,3,3,10,4,4,2,6,5,9,3,5,4,2,6,0,2
9637,1,2,0,1,7,10,7,5,4,4,5,6,3,3,6,10,12,9,7,4,7,7,6,3
9638,1,0,2,1,5,8,10,3,3,4,8,9,3,3,6,9,10,4,5,4,5,8,2,4
9643,1,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
9644,1,1,0,1,2,0,2,0,0,1,0,0,0,0,4,7,6,3,4,1,3,0,2,0
9645,1,1,0,1,2,4,1,3,0,1,3,1,2,0,1,1,1,0,1,0,0,0,0,0
9647,1,1,1,1,6,5,8,2,4,4,3,6,1,3,1,1,1,0,1,0,0,0,0,0
9648,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,2,1,1,1,1,2,1,1,1
9649,0,0,0,1,9,15,12,5,6,6,7,8,3,4,16,42,16,21,3,7,19,4,8,0
9651,0,0,0,1,11,19,20,6,6,5,8,7,2,3,10,20,17,8,8,5,9,5,1,2
9652,1,1,0,1,12,20,13,6,3,6,10,5,4,2,8,12,13,5,5,4,8,4,4,0
9653,1,0,1,1,11,19,17,6,5,3,2,3,1,0,10,9,20,8,7,6,4,12,4,6
9655,0,0,0,1,9,17,10,4,5,4,6,8,0,4,15,34,13,10,4,8,18,8,6,2
9656,0,0,0,1,9,14,15,8,6,5,12,5,7,5,13,24,17,10,4,6,10,10,3,3
9657,0,0,0,1,11,21,14,8,8,4,5,6,1,2,8,7,8,3,5,5,4,3,2,2
9658,1,0,1,1,9,12,14,4,8,4,6,6,2,4,9,12,18,5,8,4,7,11,3,5
9660,0,0,0,1,4,6,0,2,0,3,5,0,2,0,1,0,1,0,0,0,0,0,0,0
9664,1,0,2,0,3,2,2,0,1,1,1,1,0,1,3,5,6,1,2,1,0,2,0,1
9667,0,0,0,1,5,6,4,2,1,2,4,0,1,0,12,17,12,5,8,5,4,6,1,3
9668,1,2,0,1,9,6,16,1,7,4,3,7,0,4,7,6,12,3,2,4,3,8,2,1
9669,0,0,0,1,8,13,5,8,3,4,6,3,4,2,8,9,14,4,6,4,3,7,1,2
9670,1,1,0,1,11,18,8,4,6,4,4,1,2,0,6,7,4,3,3,4,6,2,3,1
9672,0,0,0,1,11,14,16,6,6,6,9,7,3,1,7,10,6,4,3,4,6,4,2,2
9673,0,0,0,0,6,7,10,5,2,4,4,9,3,2,9,9,7,2,3,5,4,5,0,2
9674,1,1,1,1,9,18,7,8,2,3,4,2,3,1,12,15,10,9,3,4,6,3,3,2
9676,1,3,0,1,12,20,8,6,5,5,9,2,2,1,8,8,9,4,3,3,2,3,2,0
