比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分,上半场进球系数
27624,1,1,0,1,10,12,13,8,6,5,9,7,5,4,11,12,15,7,8,5,7,7,2,5,2.898333
27625,0,0,0,1,3,3,6,3,2,2,2,4,2,1,2,1,3,0,2,2,1,3,0,2,2.480000
27626,1,1,1,1,2,1,2,0,2,2,1,2,0,2,3,3,2,2,1,3,3,2,2,1,1.866667
27627,1,1,1,1,5,4,8,2,3,2,2,3,2,1,1,2,2,1,1,1,2,2,1,1,3.142857
27628,1,1,0,1,3,2,4,0,1,3,2,4,0,1,1,1,4,1,2,1,1,4,1,2,3.066667
27629,1,2,1,1,4,9,7,2,2,3,7,5,2,2,4,8,6,5,3,4,8,6,5,3,3.242857
27630,1,2,0,1,3,5,1,4,1,3,5,1,4,1,3,3,1,1,1,2,2,1,0,1,2.426667
27631,1,1,0,1,4,8,2,5,1,2,6,1,4,0,2,1,5,1,2,2,1,5,1,2,3.333333
27632,1,1,1,1,3,1,7,0,3,2,0,5,0,2,1,0,4,0,3,1,0,4,0,3,3.200000
27633,1,1,0,1,2,3,5,2,3,2,3,5,2,3,5,7,6,2,3,2,5,3,2,2,3.657143
27634,1,1,0,1,5,5,4,3,3,2,1,2,0,2,4,6,5,4,3,3,4,5,3,3,2.971429
27635,1,1,0,1,3,2,6,2,2,1,1,1,1,1,1,2,5,2,2,0,0,0,0,0,5.500000
27636,1,0,1,1,6,6,20,3,11,1,0,3,0,2,6,14,16,7,8,0,0,0,0,0,4.466667
27637,1,1,0,1,4,9,9,4,3,2,5,5,2,2,5,16,11,8,8,1,6,4,2,3,5.333333
27638,1,1,0,1,6,12,10,5,3,0,0,0,0,0,4,14,5,7,2,1,4,2,1,2,3.960000
27639,1,1,1,1,1,1,2,0,1,0,0,0,0,0,3,3,2,1,2,0,0,0,0,0,1.733333
27640,1,2,0,1,5,8,7,6,2,3,3,4,2,1,4,1,7,0,4,2,1,1,0,1,2.166667
27641,1,0,2,1,2,3,3,0,1,1,0,1,0,0,1,2,3,1,2,1,2,3,1,2,3.066667
27642,1,2,1,1,3,3,2,1,2,2,1,2,0,2,5,7,5,4,2,3,5,2,3,1,2.230000
27643,1,1,1,1,2,3,2,3,0,1,2,1,2,0,1,0,0,0,0,1,0,0,0,0,2.000000
27644,0,0,0,1,1,0,2,0,1,1,0,2,0,1,4,2,6,0,4,0,0,0,0,0,1.600000
27645,1,0,1,1,5,4,7,4,3,3,1,2,1,2,6,3,16,2,8,4,3,7,2,2,2.530000
27646,0,0,0,1,5,3,3,1,1,3,1,0,0,0,7,6,10,5,8,4,3,4,3,3,1.922727
27647,0,0,0,1,8,14,7,7,2,4,5,4,2,1,6,6,13,3,6,3,1,10,0,5,2.477778
27648,1,0,1,1,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2.400000
